Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467703911,,,,,
Andorra,AND,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,1022871402,1070429537,1157666822,1247831302,1317944270,1325090207,1368868424,1407724771,1428319833,1428913250,1460474059,1458539388,1476719523,1502859169,1529680510,1565191061,1616111762,1705759462,1792656380,1879188446,1950247955,1999901281,2018484671,1997664169,2045272407,2101670671,2199392934,2398826714,2475464141,2576935425,2606977005,2765136580,2942847626,3296693262,3562720067,3842026792,4018195654,4021331428,3675727911,3535389133,3346317329,3185604582,3129537612,3127549908,,
Afghanistan,AFG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8013233122,8689883606,8781610175,9762978844,10305228125,11721187594,12144482858,14697331941,15936800636,16911126453,19352203806,19731337261,19990317161,20294152243
Angola,AGO,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,27308217745,28072847844,30290602825,31986876577,32114824090,32018479612,31634257860,29451494067,22176975036,22953169160,25340298757,28178412209,30404506777,32473461136,33525536222,34535350910,35993076036,33494990432,35252638226,39087976314,46226007691,55811028115,68420444001,77874196512,79753199398,82470913121,85702615836,90120963241,96261432368,100886286611,103910558934
Albania,ALB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,5442066397,5754747683,5924431989,5989893305,5914924002,6020247739,6359623745,6309519917,6219922230,6831747928,6177564328,4349684962,4036507645,4424012380,4791205407,5428435726,5922423377,5280559675,5756277509,6533442516,6969002335,7522364217,7840663356,8293343316,8766856445,9268392517,9771760095,10348293942,11127520474,11500292411,11926953259,12231090568,12404772054,12542465022,12793314323,13120823169
Arab World,ARB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,504080540840,569088448377,618308164556,630118644507,696827907385,767025354210,797530065392,772722659822,751191409377,764002490894,759937489519,763501007889,768117949343,797138536615,816491545845,904526682483,893741732982,939313990594,977340782354,1010938448987,1040517115375,1091067702546,1144095568879,1204541602908,1241255017859,1304960631321,1333688223087,1353674267141,1410983637863,1548396875130,1643639422414,1763823829113,1863481356327,1980983302946,2011001139578,2103824906396,2173896465634,2318266914690,2385579629423,2436659330417,2509068276528
United Arab Emirates,ARE,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,56055910246,65320190085,79324401300,78063457999,94397122680,116934223225,122382395272,114159135176,108741347314,113109434263,109043742199,92732830340,95869037705,93358316076,104876763630,124098561674,125165910997,129352641719,130984025532,140016878503,149381048378,158042765140,170987097645,171486370299,176463271146,195614307991,198351118487,203177907295,221058661958,242206098797,253965546877,278948949836,287831772786,297018891708,281446423170,286049336038,300946210245,321692225023,335593704979,350931309582,362100323852
Argentina,ARG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,120673927320,127223918492,126139943323,119444186855,131544238523,145447719126,144488162457,149100219724,156290578986,171418766227,176639570428,186634068867,189673248870,195006394109,205797666517,205739195072,201586860647,215565191420,205851554864,226895272407,236315424883,222870192616,211822119302,220030487864,224897063895,207834849661,224203464831,230727770256,224828280646,207974726491,202985497617,228703171683,256012102225,271134531017,286958486408,278793915961,294201990941,318064852036,330310917748,319128383482,316610463954,302651616137,269679281786,293510949880,320013736306,349450164584,378814002618,408988709470,421564889400,421775774944,461640242696,500355477550,504367128523,518919894963,521273744038,
Armenia,ARM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357857590,5613988348,3267341064,2979815090,3140725188,3357435176,3554362204,3672405406,3940491000,4070527203,4310688308,4722645336,5345387543,6095922453,6734033975,7667755682,8679746346,9873142201,10554389013,9060944166,9260284938,9695518330,10393595650,10736584306,11112364757,11445735700
American Samoa,ASM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,306603782.2,319432463.7,342890213.7,372361848,387568058.7,388216472,406378750.2,446015372.3,481653390.6,542916938.9,587779116.4,619647321.7,655418839.3,672099917,685786802.3,691603563,728881697.6,775002576.8,742632124.4,792682270.6,831411470,868057376.9,903835269.3,949404558.4,919078280.2,945954440,1001894699,1054859062,1119028549,1268714285,1389228751,1390216646,1222889961,1135539037,1115173876,1159998756,1155982145,1211723377,1256122384
Australia,AUS,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,198339485482,203250230381,205948530113,218742968009,234002816672,247996231205,253861820860,269847640642,283590498771,303582811816,325340262601,338383650770,351617365438,360754643519,375534259075,380559842326,390415060871,404498418728,408126668189,424667406160,437625669397,452321766151,467344710523,456920118611,478062421303,503158214942,523795389500,537280463637,568276378743,590318114679,611151237194,608829575133,611258847957,636076780968,661761221543,687431206940,714578832666,742785701651,775752339240,814595006335,846108898622,862433612001,895694974590,923199964418,961506986894,992339076659,1021939264107,1060340245234,1099643871866,1119653852349,1142250506474,1169431057882,1211913217353,1241484494447,1272519759757,1301251030446
Austria,AUT,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,92237791418,97345901229,99924277888,104059411886,110432378367,114275618300,120724033068,124355469686,129917035252,138070455811,145727882517,153181818146,162691132450,170647437219,177374594834,176729420132,184820880132,194209745430,193800635762,204181954172,207717334834,207417610199,211589305960,217880042252,217991760795,223438674040,228580875497,231683101987,239319099603,248621611921,259425816026,268354285960,273972349272,275415661589,282031472848,289556026490,296500490066,303038384106,313826450331,325092781457,336043231788,340581549669,346221086093,348839059603,358277748344,365947337748,378209615894,391906516556,397970344371,382851152318,390235099338,401192900662,404231192053,405529788079,406963218543,410471668874
Azerbaijan,AZE,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22325675015,22169395298,17159111874,13195357108,10595871755,9345558793,9467051076,10016140088,11017754125,11833067994,13146538453,14448045760,15979538495,17769246844,19581710093,24751281716,33290473787,41629404407,46113899019,50453518393,52902703376,52937578302,54102205125,57238335961,58383102680,59025316810
Burundi,BDI,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,596608253.7,514597677.4,561236477.6,584445892.5,621108404.9,645749176.6,675537540.2,768907087,766616638.4,755427553.1,916527545.7,941702987.5,881396658.5,942116521.3,935268845.7,941796276.2,1016599962,1133198417,1122539825,1141229607,1152539828,1292726424,1279106260,1326629241,1328692733,1485254992,1533528459,1617920004,1699317954,1722250288,1782525984,1871595893,1890498980,1772531844,1704643875,1569636080,1444065193,1421104557,1488607023,1473572092,1460945583,1490979806,1557276512,1538219684,1612571959,1627085107,1714698066,1796760634,1887463245,1952928500,2026864469,2111823041,2196704928,2297622744,2404713060,2343732768
Belgium,BEL,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,120563778167,126565953105,133162575022,138957256706,148624074969,153916072719,158773502334,164915094717,171831847560,183223955038,194139146358,201877197616,212567815364,226133260000,236456827020,231808223841,244911753775,246445280397,253449000397,259382426623,270909521854,270152915894,271760290464,272607755232,279331305563,283945280132,289120927152,295789962252,309760740132,320506856954,330562446887,336621902119,341774421457,338486985298,349409863709,357742440662,363441839603,376927528874,384373538013,398068921060,412534018013,415881583046,423286155629,426564659868,442069435629,451327348874,462608115497,478325096291,481898678411,470887876689,483577483444,492266586887,493047601589,493062669404,499450164901,506312296424
Benin,BEN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1265426253,1305176841,1260456133,1320076061,1407871140,1482401907,1535410564,1551968411,1611600246,1657974011,1692754286,1667416432,1774570741,1840339266,1901793939,1808694556,1824689861,1915626267,1939668872,2066440730,2206581861,2426230120,2480457973,2372612057,2560756387,2753589661,2813373992,2771173299,2865538547,2783751478,3033624751,3161819648,3255337130,3445324207,3514933553,3727418268,3888602421,4111601652,4274462693,4502780954,4766643562,5020725248,5253911327,5434858389,5675602454,5772744796,6000595826,6359822427,6671033591,6825749998,6970240895,7176751732,7509969971,8026580503,8551638195,8999782271
Burkina Faso,BFA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1120811787,1166136608,1237606774,1221913718,1249807799,1296857381,1303829456,1418870435,1462440739,1492070973,1493816989,1514929700,1549947281,1556911619,1685923956,1736474411,1884680679,1891660661,1978825073,2051341523,2067688230,2155674637,2361804485,2369975968,2327821284,2526090319,2727049967,2720604944,2878280133,2940170849,2922443722,3187508913,3194926589,3305515297,3348983063,3540423456,3930392032,4178668401,4484033772,4816039657,4903703229,5228004716,5455579987,5881248337,6144638535,6676878621,7094394431,7495582799,8042347948,8280563450,8979966766,9565619495,10182857809,10554461357,10981684425,11418705176
Bangladesh,BGD,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,17862545311,18944687033,19977746684,19886669278,22064814113,22419232005,22994691543,22563342421,24704480424,25006087027,26411392182,24964184430,21475757025,22189972024,24318424444,23324235189,24644704391,25303471152,27093397642,28394323598,28626913391,30697768187,31352959199,32569782093,34134209698,35274979988,36747139851,38133389635,39054790277,40162611478,42420657180,43899113723,46288404443,48469311189,50354828680,52933639391,55327785139,57811945427,60804885377,63644568604,67013463193,70415929567,73115059421,76580396942,80592852042,85860356478,91588846354,98053769823,103950517391,109194950718,115279077465,122731159566,130734992459,138596866824,146997351892,156629549345
Bulgaria,BGR,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,28189215378,29570532557,30260876066,31298916678,32361966766,33230380939,34628583119,36725175443,40744632801,39404182483,35811554555,32787141532,30402733451,29952707662,30497251252,31369530391,31871442873,31520857046,32624086977,30793875728,32336941248,33710622716,35739369162,37554043590,40015923920,42911553405,45809428049,49325462299,52110873832,49911937187,49939168133,50730191553,50850459591,51502304048,52300589760,53852419115
Bahrain,BHR,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,7624221103,7218864342,6673391236,7098911806,7454116226,7099429359,7183415176,7930419191,8485547872,8516435872,8894395056,9893235512,10555092806,11913533954,11883749942,12350780310,12858398136,13256108363,13891076324,14488392461,15256276507,15636315476,16201435104,17177401648,18376546950,19620444334,20889606053,22621864900,24034629396,24645054296,25713271277,26253297314,27195450595,28667523540,29952096680,30828664922
