Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,273437,272374,2336764,1615239,8.55,245
2,United States,Northern America,175891,172431,2230544,724472,12.68,363
3,India,Asiatic Region,55082,53775,463165,162944,8.41,181
4,Japan,Asiatic Region,50523,50065,488062,119930,9.66,193
5,United Kingdom,Western Europe,43389,42284,615670,111290,14.19,226
6,Germany,Western Europe,38739,38013,433148,95145,11.18,196
7,Russian Federation,Eastern Europe,36735,36560,115938,54993,3.16,90
8,Canada,Northern America,33472,32863,568080,100953,16.97,227
9,Italy,Western Europe,27983,26940,352993,87828,12.61,166
10,South Korea,Asiatic Region,27655,27445,328488,61531,11.88,155
11,France,Western Europe,25232,24732,343860,65734,13.63,178
12,Iran,Middle East,22933,22734,307280,97038,13.4,141
13,Spain,Western Europe,21955,21597,352497,64588,16.06,176
14,Brazil,Latin America,21524,21236,183915,45172,8.54,127
15,Australia,Pacific Region,20614,20147,314307,51583,15.25,176
16,Taiwan,Asiatic Region,13362,13241,201036,27202,15.05,149
17,Turkey,Middle East,12828,12549,226772,46271,17.68,157
18,Norway,Western Europe,10862,10731,123291,24525,11.35,125
19,Netherlands,Western Europe,10853,10590,153253,19912,14.12,142
20,Malaysia,Asiatic Region,10522,10200,129455,30041,12.3,127
21,Sweden,Western Europe,9611,9453,160992,24269,16.75,145
22,Saudi Arabia,Middle East,9323,9164,101807,17257,10.92,111
23,Poland,Eastern Europe,9161,8985,84123,21049,9.18,89
24,Denmark,Western Europe,9157,8934,141818,24238,15.49,139
25,Egypt,Africa/Middle East,7808,7707,79264,14900,10.15,99
26,Switzerland,Western Europe,7553,7400,121446,17023,16.08,133
27,Mexico,Latin America,7355,7156,63975,10993,8.7,85
28,Ukraine,Eastern Europe,6810,6667,22058,12584,3.24,42
29,Portugal,Western Europe,6496,6159,77864,12980,11.99,99
30,Romania,Eastern Europe,6436,6362,33355,7938,5.18,67
31,Singapore,Asiatic Region,6241,6044,111956,10421,17.94,130
32,Greece,Western Europe,5905,5757,107254,14354,18.16,127
33,Belgium,Western Europe,5849,5667,78056,9625,13.35,104
34,Hong Kong,Asiatic Region,5637,5557,102772,11549,18.23,120
35,South Africa,Africa,5423,5289,45164,7743,8.33,80
36,Indonesia,Asiatic Region,5114,5071,20342,5211,3.98,54
37,Finland,Western Europe,4734,4609,59251,9284,12.52,90
38,Pakistan,Asiatic Region,4703,4657,30928,7098,6.58,63
39,Thailand,Asiatic Region,4578,4519,55267,7037,12.07,93
40,Austria,Western Europe,4445,4299,47892,6009,10.77,86
41,Czech Republic,Eastern Europe,4273,4215,22140,4943,5.18,58
42,Algeria,Africa,3814,3731,32820,6673,8.61,71
43,United Arab Emirates,Middle East,3731,3688,31879,3587,8.54,73
44,Colombia,Latin America,3110,3083,31289,4611,10.06,72
45,Bangladesh,Asiatic Region,3024,2991,13044,2442,4.31,45
46,Israel,Middle East,2459,2414,34755,4424,14.13,82
47,Ireland,Western Europe,2416,2379,46194,5082,19.12,98
48,New Zealand,Pacific Region,2405,2356,32461,3453,13.5,74
49,Nigeria,Africa,2389,2353,14734,2937,6.17,48
50,Chile,Latin America,2347,2297,21887,3083,9.33,61
51,Argentina,Latin America,2239,2207,26920,3620,12.02,66
52,Tunisia,Africa,2219,2171,19138,3343,8.62,57
53,Bulgaria,Eastern Europe,2147,2135,15363,2450,7.16,55
54,Viet Nam,Asiatic Region,2135,2108,12682,2606,5.94,44
55,Hungary,Eastern Europe,2021,1980,17067,3260,8.44,57
56,Serbia,Eastern Europe,2015,1984,19315,2894,9.59,58
57,Slovakia,Eastern Europe,1884,1857,7720,2202,4.1,35
58,Croatia,Eastern Europe,1855,1802,13923,2504,7.51,49
59,Morocco,Africa,1819,1794,11285,2586,6.2,46
60,Kuwait,Middle East,1792,1763,16030,1874,8.95,57
61,Iraq,Middle East,1745,1721,12286,2304,7.04,48
62,Qatar,Middle East,1677,1650,15785,2580,9.41,53
63,Slovenia,Eastern Europe,1439,1389,17969,1822,12.49,62
64,Estonia,Eastern Europe,1375,1337,8548,3221,6.22,37
65,Venezuela,Latin America,1304,1298,14160,1241,10.86,59
66,Jordan,Middle East,1265,1245,17188,1931,13.59,61
67,Ecuador,Latin America,1196,1192,3326,848,2.78,22
68,Kazakhstan,Asiatic Region,1160,1143,3828,926,3.3,24
69,Oman,Middle East,1054,1034,9945,1000,9.44,45
70,Lithuania,Eastern Europe,1011,984,6550,1392,6.48,34
71,Latvia ,Eastern Europe,939,935,3384,1218,3.6,22
72,Lebanon,Middle East,887,884,11604,1013,13.08,51
73,Azerbaijan,Eastern Europe,845,841,2264,662,2.68,22
74,Cyprus,Western Europe,736,709,12266,924,16.67,47
75,Belarus,Eastern Europe,648,645,2295,534,3.54,21
76,Sri Lanka,Asiatic Region,623,591,5143,546,8.26,28
77,Philippines ,Asiatic Region,620,614,3558,582,5.74,28
78,Peru,Latin America,602,601,1307,255,2.17,17
79,Bosnia and Herzegovina,Eastern Europe,463,452,2392,395,5.17,24
80,Kenya,Africa,407,388,3261,156,8.01,22
81,Libya,Africa,406,404,2635,197,6.49,24
82,Macao,Asiatic Region,377,365,2976,278,7.89,28
83,Iceland,Western Europe,339,328,1682,345,4.96,19
84,Cuba,Latin America,338,332,2644,316,7.82,26
85,Ghana,Africa,325,319,1950,260,6,20
86,Brunei Darussalam,Asiatic Region,322,311,4113,297,12.77,30
87,Ethiopia,Africa,302,299,1595,265,5.28,19
88,Macedonia,Eastern Europe,292,287,2977,231,10.2,29
89,Uruguay,Latin America,273,271,2225,257,8.15,25
90,Palestine,Middle East,270,264,1971,169,7.3,24
91,Trinidad and Tobago,Latin America,257,255,1577,107,6.14,20
92,Bahrain,Middle East,243,239,1909,89,7.86,22
93,Costa Rica,Latin America,216,215,881,152,4.08,15
94,Nepal,Asiatic Region,207,207,1337,174,6.46,20
95,Luxembourg,Western Europe,205,201,2138,208,10.43,24
96,Moldova,Eastern Europe,205,175,360,138,1.76,10
97,Tanzania,Africa,174,173,1906,195,10.95,23
98,Sudan,Africa,174,174,1261,91,7.25,19
99,Cameroon,Africa,174,172,1382,225,7.94,21
100,Syrian Arab Republic,Middle East,168,163,1879,204,11.18,23
101,Paraguay,Latin America,166,166,1042,243,6.28,16
102,Puerto Rico,Latin America,152,150,1358,72,8.93,17
103,Armenia,Eastern Europe,150,150,1201,413,8.01,19
104,Malta,Western Europe,145,143,657,104,4.53,13
105,Uzbekistan,Asiatic Region,137,128,546,142,3.99,14
106,Uganda,Africa,125,113,670,48,5.36,11
107,Mauritius,Africa,119,111,651,57,5.47,12
108,Montenegro,Eastern Europe,118,118,539,128,4.57,11
109,Panama,Latin America,102,101,115,14,1.13,6
110,Fiji,Pacific Region,96,94,695,77,7.24,14
111,Botswana,Africa,94,80,251,18,2.67,9
112,Georgia,Eastern Europe,94,91,292,21,3.11,9
113,Mongolia,Asiatic Region,90,90,409,56,4.54,10
114,Yemen,Middle East,90,90,1100,144,12.22,17
115,Senegal ,Africa,89,88,690,32,7.75,12
116,Angola,Africa,86,86,445,9,5.17,11
117,Bolivia,Latin America,76,72,648,44,8.53,14
118,Albania,Eastern Europe,73,72,455,38,6.23,12
119,Zambia,Africa,73,73,178,23,2.44,7
120,El Salvador,Latin America,71,67,89,14,1.25,4
121,Rwanda,Africa,71,70,209,40,2.94,7
122,Burkina Faso,Africa,68,68,931,58,13.69,17
123,Benin,Africa,59,59,188,16,3.19,8
124,Zimbabwe,Africa,56,55,151,18,2.7,8
125,Myanmar,Asiatic Region,53,53,303,48,5.72,7
126,Mozambique,Africa,51,48,307,39,6.02,9
127,Namibia,Africa,51,50,170,32,3.33,8
128,Kyrgyzstan,Asiatic Region,51,51,63,9,1.24,4
129,Monaco,Western Europe,50,50,205,29,4.1,9
130,Tajikistan,Asiatic Region,48,48,176,92,3.67,7
131,Côte d’Ivoire,Africa,44,43,602,21,13.68,12
132,Cambodia,Asiatic Region,44,43,214,46,4.86,8
133,Malawi,Africa,41,41,174,26,4.24,6
134,Nicaragua,Latin America,39,39,61,4,1.56,4
135,Jamaica,Latin America,38,38,174,13,4.58,7
136,Laos,Asiatic Region,38,36,88,3,2.32,6
137,Honduras,Latin America,38,38,41,7,1.08,3
138,North Korea,Asiatic Region,37,37,184,22,4.97,7
139,Congo,Africa,37,37,83,7,2.24,5
140,Bhutan,Asiatic Region,29,29,109,2,3.76,4
141,Afghanistan,Asiatic Region,28,27,121,13,4.32,6
142,Niger,Africa,27,26,178,10,6.59,6
143,Guatemala,Latin America,25,24,154,12,6.16,4
144,Mali,Africa,24,24,141,19,5.88,7
145,Madagascar,Africa,22,22,225,12,10.23,6
146,Dominican Republic,Latin America,21,21,69,4,3.29,4
147,Togo,Africa,19,19,28,6,1.47,3
148,Papua New Guinea,Pacific Region,16,16,34,6,2.13,3
149,Liechtenstein,Western Europe,15,15,152,9,10.13,7
150,Suriname,Latin America,13,13,46,1,3.54,3
151,Sierra Leone,Africa,13,13,41,3,3.15,2
152,Swaziland,Africa,13,13,64,0,4.92,4
153,Gabon,Africa,12,12,74,0,6.17,3
154,Barbados,Latin America,12,12,39,7,3.25,4
155,Burundi,Africa,12,12,82,1,6.83,4
156,Faroe Islands,Western Europe,12,12,70,10,5.83,5
157,Eritrea,Africa,11,11,73,2,6.64,3
158,Guinea,Africa,11,11,84,1,7.64,4
159,Mauritania,Africa,11,11,85,3,7.73,3
160,Lesotho,Africa,10,9,85,7,8.5,4
161,Turkmenistan,Asiatic Region,9,9,36,0,4,3
162,Chad,Africa,8,8,13,2,1.63,2
163,Djibouti,Africa,8,8,67,0,8.38,4
164,Guadeloupe,Latin America,7,7,36,0,5.14,2
165,Democratic Republic Congo,Africa,7,7,9,0,1.29,2
166,Cape Verde,Africa,7,7,26,1,3.71,3
167,French Guiana,Latin America,6,6,15,1,2.5,2
168,Bermuda,Latin America,6,6,17,0,2.83,2
169,Equatorial Guinea,Africa,6,6,41,0,6.83,2
170,Belize,Latin America,5,5,15,1,3,2
171,Maldives,Asiatic Region,5,5,107,3,21.4,2
172,Netherlands Antilles,Latin America,5,5,27,0,5.4,2
173,Samoa,Pacific Region,5,5,36,1,7.2,1
174,New Caledonia,Pacific Region,5,5,55,1,11,2
175,Reunion,Africa,5,5,13,1,2.6,3
176,Guyana,Latin America,4,4,8,0,2,2
177,Haïti,Latin America,4,4,9,1,2.25,2
178,Liberia,Africa,4,4,47,3,11.75,3
179,Gambia,Africa,3,3,0,0,0,0
180,Greenland,Western Europe,3,3,130,0,43.33,3
181,French Polynesia,Pacific Region,3,3,46,0,15.33,2
182,American Samoa,Pacific Region,3,3,2,0,0.67,1
183,Republic of South Sudan,Africa,3,3,4,0,1.33,1
184,Kiribati,Pacific Region,2,2,30,0,15,1
